iter	Passed	Remaining
0	57	57594
1	57	28915
2	58	19336
3	58	14550
4	58	11675
5	58	9759
6	59	8392
7	59	7366
8	59	6568
9	59	5927
10	60	5404
11	60	4969
12	60	4600
13	60	4283
14	61	4008
15	61	3768
16	61	3557
17	61	3370
18	62	3203
19	62	3051
20	62	2914
21	62	2789
22	62	2675
23	63	2570
24	63	2475
25	63	2386
26	63	2304
27	64	2228
28	64	2157
29	64	2091
30	64	2029
31	65	1971
32	65	1916
33	65	1865
34	65	1816
35	66	1770
36	66	1727
37	66	1685
38	66	1646
39	67	1609
40	67	1573
41	67	1539
42	67	1507
43	67	1476
44	68	1447
45	68	1418
46	68	1392
47	68	1366
48	69	1342
49	69	1318
50	69	1295
51	69	1273
52	70	1251
53	70	1231
54	70	1211
55	70	1192
56	70	1174
57	71	1156
58	71	1139
59	71	1122
60	71	1106
61	72	1091
62	72	1076
63	72	1062
64	72	1048
65	73	1034
66	73	1021
67	73	1006
68	73	994
69	73	982
70	74	970
71	74	959
72	74	948
73	74	937
74	75	927
75	75	917
76	75	907
77	75	898
78	76	888
79	76	879
80	76	870
81	77	862
82	77	853
83	77	845
84	77	836
85	77	828
86	78	819
87	78	811
88	78	803
89	78	796
90	79	789
91	79	782
92	79	776
93	79	769
94	80	762
95	80	756
96	80	749
97	80	743
98	81	737
99	81	731
100	81	725
101	81	718
102	81	712
103	82	707
104	82	701
105	82	696
106	82	691
107	83	685
108	83	680
109	83	675
110	83	670
111	84	666
112	84	661
113	84	657
114	84	652
115	84	647
116	85	643
117	85	638
118	85	633
119	85	629
120	86	625
121	86	621
122	86	616
123	86	612
124	86	608
125	87	604
126	87	600
127	87	596
128	87	592
129	88	589
130	88	585
131	88	582
132	88	578
133	88	574
134	89	571
135	89	568
136	89	564
137	89	561
138	90	557
139	90	554
140	90	551
141	90	548
142	91	545
143	91	542
144	91	539
145	91	536
146	91	533
147	92	530
148	92	528
149	92	525
150	92	522
151	93	519
152	93	516
153	93	514
154	93	511
155	94	509
156	94	506
157	94	503
158	94	501
159	95	498
160	95	496
161	95	494
162	95	491
163	96	489
164	96	487
165	96	485
166	96	483
167	97	480
168	97	478
169	97	476
170	97	474
171	98	472
172	98	469
173	98	467
174	98	465
175	99	463
176	99	461
177	99	459
178	99	457
179	99	455
180	100	452
181	100	450
182	100	448
183	100	446
184	100	444
185	101	442
186	101	440
187	101	439
188	101	437
189	102	435
190	102	433
191	102	431
192	102	429
193	103	428
194	103	426
195	103	424
196	103	423
197	104	421
198	104	419
199	104	418
200	104	416
201	105	414
202	105	413
203	105	411
204	105	410
205	105	408
206	106	407
207	106	405
208	106	404
209	106	402
210	107	400
211	107	399
212	107	397
213	107	396
214	108	395
215	108	393
216	108	392
217	108	390
218	109	389
219	109	387
220	109	386
221	109	384
222	110	383
223	110	382
224	110	380
225	110	379
226	111	378
227	111	377
228	111	375
229	111	374
230	112	373
231	112	372
232	112	370
233	112	369
234	113	368
235	113	367
236	113	365
237	113	364
238	114	363
239	114	362
240	114	360
241	114	359
242	115	358
243	115	357
244	115	355
245	115	354
246	115	353
247	116	353
248	116	351
249	116	350
250	117	349
251	117	348
252	117	347
253	117	346
254	118	345
255	118	344
256	118	342
257	118	341
258	119	340
259	119	339
260	119	338
261	119	337
262	120	336
263	120	335
264	120	334
265	120	333
266	121	332
267	121	331
268	121	330
269	121	329
270	121	328
271	122	326
272	122	326
273	122	325
274	122	323
275	123	322
276	123	321
277	123	321
278	123	320
279	124	319
280	124	318
281	124	317
282	124	316
283	125	315
284	125	314
285	125	313
286	125	312
287	126	311
288	126	310
289	126	310
290	126	309
291	127	308
292	127	307
293	127	306
294	127	305
295	128	304
296	128	303
297	128	302
298	128	301
299	129	301
300	129	300
301	129	299
302	129	298
303	129	297
304	130	296
305	130	295
306	130	294
307	130	294
308	131	293
309	131	292
310	131	291
311	131	290
312	132	289
313	132	288
314	132	288
315	132	287
316	133	286
317	133	285
318	133	285
