iter	RMSE
0	14.59834381
1	14.21509215
2	13.84778925
3	13.48380117
4	13.14711532
5	12.83722645
6	12.5274476
7	12.26405321
8	12.00319231
9	11.71015962
10	11.43715017
11	11.18755728
12	10.94329978
13	10.69308371
14	10.46448486
15	10.22503594
16	10.01479239
17	9.812030372
18	9.615488688
19	9.426098885
20	9.261417553
21	9.086996317
22	8.915884991
23	8.748878462
24	8.59545873
25	8.455217695
26	8.310575331
27	8.180967931
28	8.075336562
29	7.953862556
30	7.856722257
31	7.734695906
32	7.624661332
33	7.526009116
34	7.419709622
35	7.328219531
36	7.236817224
37	7.152911955
38	7.070935532
39	6.994692362
40	6.922374689
41	6.846138176
42	6.780727618
43	6.713200163
44	6.653626678
45	6.592532007
46	6.528289598
47	6.472888871
48	6.41337499
49	6.363954551
50	6.311543011
51	6.268170556
52	6.221635764
53	6.175771366
54	6.132243087
55	6.093271659
56	6.057340686
57	6.025116154
58	5.985689979
59	5.956414328
60	5.923879796
61	5.894783503
62	5.865274919
63	5.831002203
64	5.801922952
65	5.777532973
66	5.752396314
67	5.727283327
68	5.705021942
69	5.681141924
70	5.659399631
71	5.641533154
72	5.622015908
73	5.602636943
74	5.585419543
75	5.568493497
76	5.551284923
77	5.533295354
78	5.517116808
79	5.497034124
80	5.480953035
81	5.470285078
82	5.452908181
83	5.438891145
84	5.419159282
85	5.407078195
86	5.395940104
87	5.383082883
88	5.369229083
89	5.356813051
90	5.350130382
91	5.340689387
92	5.329144735
93	5.321277981
94	5.313937005
95	5.307130726
96	5.299502959
97	5.288786475
98	5.281773359
99	5.272162383
100	5.265486566
101	5.253663467
102	5.238133648
103	5.226843689
104	5.21974648
105	5.211636903
106	5.202924943
107	5.198145592
108	5.19076277
109	5.176109359
110	5.17242963
111	5.165482889
112	5.154998812
113	5.146863363
114	5.143189182
115	5.134872553
116	5.12947163
117	5.125750022
118	5.121970655
119	5.111808183
120	5.104577607
121	5.10196696
122	5.096091538
123	5.089647149
124	5.084689336
125	5.075563032
126	5.069355949
127	5.065885538
128	5.058119469
129	5.052014718
130	5.04357484
131	5.037004253
132	5.032054784
133	5.024148821
134	5.01957337
135	5.016293942
136	5.013574645
137	5.009737131
138	5.003899552
139	5.001216449
140	4.997560273
141	4.992689806
142	4.988983425
143	4.983888045
144	4.980285981
145	4.977807302
146	4.97574726
147	4.972916498
148	4.966907082
149	4.964324828
150	4.961336634
151	4.954277837
152	4.951188254
153	4.946396333
154	4.940365643
155	4.936945373
156	4.933634256
157	4.930306992
158	4.922797716
159	4.919028557
160	4.911997873
161	4.910403005
162	4.907405704
163	4.901832215
164	4.897861881
165	4.894943901
166	4.890281682
167	4.888049167
168	4.884390837
169	4.880797357
170	4.878286487
171	4.873511487
172	4.867579937
173	4.863510944
174	4.858354422
175	4.853820717
176	4.849806826
177	4.843412308
178	4.838338257
179	4.834489479
180	4.830447791
181	4.827352197
182	4.82115488
183	4.815915329
184	4.810173922
185	4.801757136
186	4.795651502
187	4.787752869
188	4.785687494
189	4.782831439
190	4.780353583
191	4.776517844
192	4.77343536
193	4.769398766
194	4.766352301
195	4.761760177
196	4.759039253
197	4.754728858
198	4.752919079
199	4.749662276
200	4.746325183
201	4.740924807
202	4.739924161
203	4.738697645
204	4.731540519
205	4.728110557
206	4.724357132
207	4.720868358
208	4.716463257
209	4.711087682
210	4.708308561
211	4.706901432
212	4.702376383
213	4.699067265
214	4.695203542
215	4.691211355
216	4.686126925
217	4.683445809
218	4.680055626
219	4.677689184
220	4.674586442
221	4.67185916
222	4.667020072
223	4.664679062
224	4.662455184
225	4.658590364
226	4.656828566
227	4.653732005
228	4.649429825
229	4.646465193
230	4.640724921
231	4.636046839
232	4.633339192
233	4.629760143
234	4.626615462
235	4.623155064
236	4.617788172
237	4.613860344
238	4.611530211
239	4.606350976
240	4.604014261
241	4.601344179
242	4.597925609
243	4.59456062
244	4.588519387
245	4.585276626
246	4.579193261
247	4.572303044
248	4.570389626
249	4.566609312
250	4.562857286
251	4.560476151
252	4.557674269
253	4.554510549
254	4.552439434
255	4.548523412
256	4.544752812
257	4.540845805
258	4.537713978
259	4.534830115
260	4.529528213
261	4.527433965
262	4.525192878
263	4.52207884
264	4.518556921
265	4.516837114
266	4.516653417
267	4.515287865
268	4.514345998
269	4.51130679
270	4.50533936
271	4.50181097
272	4.498180835
273	4.496039205
274	4.494213571
275	4.493115207
276	4.4910774
277	4.487287679
278	4.483296412
279	4.478655286
280	4.475770652
281	4.471352021
282	4.467488424
283	4.461322089
284	4.455968232
285	4.454391511
286	4.449645606
287	4.448855008
288	4.447700803
289	4.444558418
290	4.441874618
291	4.437966585
292	4.437282945
293	4.433221644
294	4.429877622
295	4.427015048
296	4.425058089
297	4.42213884
298	4.418624709
299	4.416548639
300	4.413920313
301	4.411191467
302	4.40608076
303	4.404404878
304	4.402323274
305	4.397489412
306	4.39389242
307	4.38907873
308	4.385785656
309	4.384398314
310	4.381874317
311	4.377390509
312	4.37250196
313	4.369106164
314	4.365679378
315	4.363025903
316	4.36093256
317	4.360655486
318	4.358154611
319	4.355782979
320	4.354227877
321	4.349205761
322	4.343861891
323	4.339519716
324	4.337426893
325	4.336020886
326	4.335886337
327	4.33111014
328	4.329660647
329	4.3250699
330	4.323080923
331	4.320877011
332	4.319550767
333	4.31920468
334	4.316505743
