iter	Passed	Remaining
0	0	424
1	0	347
2	0	319
3	1	306
4	1	295
5	1	287
6	2	289
7	2	285
8	2	281
9	2	279
10	3	280
11	3	279
12	3	277
13	3	278
14	4	276
15	4	276
16	4	275
17	5	274
18	5	275
19	5	272
20	5	270
21	6	269
22	6	268
23	6	268
24	6	266
25	7	264
26	7	264
27	7	263
28	7	263
29	8	262
30	8	260
31	8	259
32	8	259
33	9	260
34	9	260
35	9	260
36	10	261
37	10	262
38	10	261
39	10	261
40	11	260
41	11	260
42	11	261
43	11	260
44	12	260
45	12	259
46	12	259
47	13	259
48	13	258
49	13	257
50	13	257
51	14	256
52	14	256
53	14	255
54	14	255
55	15	255
56	15	254
57	15	254
58	15	253
59	16	254
60	16	253
61	16	253
62	17	253
63	17	252
64	17	252
65	17	252
66	18	252
67	18	251
68	18	251
69	18	250
70	19	250
71	19	250
72	19	249
73	19	248
74	20	248
75	20	247
76	20	247
77	20	246
78	21	246
79	21	246
80	21	245
81	21	243
82	21	242
83	22	242
84	22	242
85	22	241
86	22	240
87	23	240
88	23	239
89	23	239
90	23	238
91	24	237
92	24	237
93	24	236
94	24	236
95	25	235
96	25	235
97	25	235
98	25	235
99	26	234
100	26	234
101	26	233
102	26	233
103	27	233
104	27	232
105	27	232
106	27	232
107	28	231
108	28	231
109	28	231
110	28	230
111	29	230
112	29	229
113	29	229
114	29	229
115	30	228
116	30	228
117	30	228
118	30	227
119	30	227
120	31	226
121	31	226
122	31	226
123	31	225
124	32	225
125	32	225
126	32	224
127	32	224
128	33	224
129	33	223
130	33	223
131	33	223
132	34	223
133	34	222
134	34	222
135	34	221
136	35	221
137	35	221
138	35	220
139	35	220
140	36	219
141	36	219
142	36	219
143	36	218
144	37	218
145	37	218
146	37	217
147	37	217
148	37	216
149	38	216
150	38	216
151	38	215
152	38	215
153	39	215
154	39	214
155	39	214
156	39	214
157	40	214
158	40	213
159	40	213
160	40	213
161	41	212
162	41	212
163	41	212
164	41	211
165	42	211
166	42	211
167	42	210
168	42	210
169	43	210
170	43	209
171	43	209
172	43	209
173	44	209
174	44	208
175	44	208
176	44	208
177	45	207
178	45	207
179	45	207
180	45	206
181	45	206
182	46	206
183	46	205
184	46	205
185	46	205
186	47	205
187	47	204
188	47	204
189	47	204
190	48	203
191	48	203
192	48	203
193	48	202
194	49	202
195	49	202
196	49	202
197	49	201
198	50	201
199	50	201
200	50	200
201	50	200
202	51	200
203	51	199
204	51	199
205	51	199
206	51	198
207	52	198
208	52	198
209	52	198
210	52	197
211	53	197
212	53	197
213	53	197
214	53	196
215	54	196
216	54	196
217	54	195
218	54	195
219	55	195
220	55	194
221	55	194
222	55	194
223	56	194
224	56	193
225	56	193
226	56	193
227	56	192
228	57	192
229	57	192
230	57	191
231	57	191
232	58	191
233	58	191
234	58	191
235	58	190
236	59	190
237	59	190
238	59	190
239	59	189
240	60	189
241	60	189
242	60	188
243	60	188
244	61	188
245	61	188
246	61	187
247	61	187
248	62	187
249	62	186
250	62	186
251	62	186
252	62	185
253	63	185
254	63	185
255	63	185
256	63	184
257	64	184
258	64	184
259	64	184
260	64	184
261	65	183
262	65	183
263	65	183
264	65	183
265	66	182
266	66	182
267	66	182
268	66	181
269	67	181
270	67	181
271	67	181
272	67	180
273	68	180
274	68	180
275	68	180
276	68	179
277	69	179
278	69	179
279	69	179
280	69	178
281	70	178
282	70	178
283	70	178
284	70	178
285	71	177
286	71	177
287	71	177
288	71	176
289	72	176
290	72	176
291	72	176
292	73	176
293	73	175
294	73	175
295	73	175
296	73	175
297	74	174
298	74	174
299	74	174
300	74	173
301	75	173
302	75	173
303	75	173
304	75	172
305	76	172
306	76	172
307	76	172
308	76	171
309	77	171
310	77	171
311	77	170
312	77	170
313	77	170
314	78	170
315	78	169
316	78	169
317	78	169
318	79	169
319	79	168
320	79	168
321	79	168
322	80	168
323	80	167
324	80	167
325	80	167
326	81	167
327	81	166
328	81	166
329	81	166
330	82	166
331	82	165
332	82	165
333	82	165
334	83	164
335	83	164
336	83	164
337	83	164
338	84	163
339	84	163
340	84	163
341	84	162
342	84	162
343	85	162
344	85	162
345	85	161
346	85	161
347	86	161
348	86	161
349	86	160
350	86	160
351	87	160
352	87	160
353	87	159
354	87	159
355	88	159
356	88	159
357	88	158
358	88	158
359	89	158
360	89	157
361	89	157
362	89	157
363	89	157
364	90	156
365	90	156
366	90	156
367	90	156
368	91	155
369	91	155
370	91	155
371	91	155
372	92	154
373	92	154
374	92	154
375	92	154
376	93	153
377	93	153
378	93	153
379	93	153
380	94	152
381	94	152
382	94	152
383	94	152
384	95	151
385	95	151
386	95	151
387	95	151
388	95	150
389	96	150
390	96	150
391	96	149
392	96	149
393	97	149
394	97	149
395	97	148
396	97	148
397	98	148
398	98	148
399	98	147
400	98	147
401	99	147
402	99	147
403	99	146
404	99	146
405	100	146
406	100	146
407	100	145
408	100	145
409	100	145
410	101	145
411	101	144
412	101	144
413	101	144
414	102	144
415	102	143
416	102	143
417	102	143
418	103	143
419	103	142
420	103	142
421	103	142
422	104	142
423	104	141
424	104	141
425	104	141
426	105	141
427	105	140
428	105	140
429	105	140
430	106	140
431	106	139
432	106	139
433	106	139
434	107	139
435	107	138
436	107	138
437	107	138
438	108	138
439	108	137
440	108	137
441	108	137
442	109	137
443	109	136
444	109	136
445	109	136
446	109	136
447	110	135
448	110	135
449	110	135
450	110	135
451	111	134
452	111	134
453	111	134
454	111	134
455	112	133
456	112	133
457	112	133
458	112	133
459	113	132
460	113	132
461	113	132
462	113	132
463	114	131
464	114	131
465	114	131
466	114	130
467	114	130
468	115	130
469	115	130
470	115	129
471	115	129
472	116	129
473	116	129
474	116	128
475	116	128
476	117	128
477	117	128
478	117	127
479	117	127
480	118	127
481	118	127
482	118	126
483	118	126
484	119	126
485	119	126
486	119	125
487	119	125
488	120	125
489	120	125
490	120	124
491	120	124
492	121	124
493	121	124
494	121	123
495	121	123
496	122	123
497	122	123
498	122	123
499	122	122
500	123	122
501	123	122
502	123	122
503	123	121
504	123	121
505	124	121
506	124	121
507	124	120
508	124	120
509	125	120
510	125	120
511	125	120
512	126	120
513	126	119
514	126	119
515	127	119
516	127	119
517	127	118
518	127	118
519	128	118
520	128	118
521	128	117
522	128	117
523	129	117
524	129	117
525	129	116
526	129	116
527	130	116
528	130	116
529	130	115
530	130	115
531	131	115
532	131	115
533	131	114
534	131	114
535	132	114
536	132	114
537	132	113
538	132	113
539	133	113
540	133	113
541	133	112
542	133	112
543	133	112
544	134	112
545	134	111
546	134	111
547	134	111
548	135	110
549	135	110
550	135	110
551	136	110
552	136	110
553	136	110
554	136	109
555	137	109
556	137	109
557	137	109
558	137	108
559	138	108
560	138	108
561	138	107
562	138	107
563	139	107
564	139	107
565	139	107
566	139	106
567	140	106
568	140	106
569	140	106
570	140	105
571	141	105
572	141	105
573	141	105
574	141	104
575	142	104
576	142	104
577	142	104
578	142	103
579	142	103
580	143	103
581	143	103
582	143	102
583	143	102
584	144	102
585	144	102
586	144	101
587	144	101
588	145	101
589	145	101
590	145	100
591	145	100
592	146	100
593	146	100
594	146	99
595	146	99
596	147	99
597	147	98
598	147	98
599	147	98
600	147	98
601	148	97
602	148	97
603	148	97
604	148	97
605	149	97
606	149	96
607	149	96
608	149	96
609	150	95
610	150	95
611	150	95
612	150	95
613	151	94
614	151	94
615	151	94
616	151	94
617	152	93
618	152	93
619	152	93
620	152	93
621	152	92
622	153	92
623	153	92
624	153	92
625	153	91
626	154	91
627	154	91
628	154	91
629	154	90
630	155	90
631	155	90
632	155	90
633	155	89
634	156	89
635	156	89
636	156	89
637	156	88
638	157	88
639	157	88
640	157	88
641	157	88
642	158	87
643	158	87
644	158	87
645	158	87
646	159	86
647	159	86
648	159	86
649	159	86
650	160	85
651	160	85
652	160	85
653	160	85
654	161	84
655	161	84
656	161	84
657	161	84
658	161	83
659	162	83
660	162	83
661	162	83
662	162	82
663	163	82
664	163	82
665	163	82
666	163	81
667	164	81
668	164	81
669	164	81
670	164	80
671	165	80
672	165	80
673	165	80
674	165	79
675	166	79
676	166	79
677	166	79
678	167	78
679	167	78
680	167	78
681	167	78
682	168	78
683	168	77
684	168	77
685	168	77
686	169	77
687	169	76
688	169	76
689	169	76
690	170	76
691	170	75
692	170	75
693	170	75
694	171	75
695	171	74
696	171	74
697	171	74
698	172	74
699	172	73
700	172	73
701	172	73
702	173	73
703	173	72
704	173	72
705	173	72
706	174	72
707	174	71
708	174	71
709	174	71
710	175	71
711	175	70
712	175	70
713	175	70
714	176	70
715	176	69
716	176	69
717	176	69
718	177	69
719	177	68
720	177	68
721	177	68
722	178	68
723	178	68
724	178	67
725	178	67
726	179	67
727	179	67
728	179	66
729	180	66
730	180	66
731	180	66
732	180	65
733	181	65
734	181	65
735	181	65
736	181	64
737	182	64
738	182	64
739	182	64
740	182	63
741	183	63
742	183	63
743	183	63
744	184	63
745	184	62
746	184	62
747	184	62
748	185	62
749	185	61
750	185	61
751	185	61
752	186	61
753	186	60
754	186	60
755	186	60
756	187	60
757	187	59
758	187	59
759	187	59
760	188	59
761	188	58
762	188	58
763	188	58
764	189	58
765	189	57
766	189	57
767	189	57
768	190	57
769	190	56
770	190	56
771	190	56
772	191	56
773	191	55
774	191	55
775	191	55
